interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,91.00,DEFAULT_EDGEDATA,0,9.35,5,0,e1,3,3,3.12,5,1.60,15.30,71.83,5.87,0.42,27.59,13.81,0.00
0.00,91.00,DEFAULT_EDGEDATA,0,8.72,0,5,e2,1,1,2.91,5,1.39,12.21,61.08,6.74,0.49,19.24,10.93,0.00
0.00,91.00,DEFAULT_EDGEDATA,0,8.29,0,5,e3,0,0,2.76,5,1.35,13.36,66.85,7.03,0.51,19.09,12.17,0.00
0.00,91.00,DEFAULT_EDGEDATA,0,9.80,0,5,e4,4,4,3.27,5,1.70,16.92,84.45,5.92,0.43,33.42,15.45,1.00
0.00,91.00,DEFAULT_EDGEDATA,0,8.66,0,5,e5,0,0,2.89,5,1.37,10.77,53.88,6.84,0.49,15.61,9.59,0.00
0.00,91.00,DEFAULT_EDGEDATA,5,7.31,0,5,e6,1,1,2.44,0,1.24,12.99,64.39,7.87,0.57,13.69,12.33,0.00
