interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,96.00,DEFAULT_EDGEDATA,0,8.87,5,0,e1,3,3,2.96,5,1.52,15.30,71.83,5.87,0.42,27.59,13.81,0.00
0.00,96.00,DEFAULT_EDGEDATA,0,8.40,0,5,e2,2,2,2.80,5,1.35,12.41,62.06,6.64,0.48,20.15,11.08,0.00
0.00,96.00,DEFAULT_EDGEDATA,0,7.94,0,5,e3,2,2,2.65,5,1.31,13.51,67.54,6.96,0.50,19.87,12.32,0.00
0.00,96.00,DEFAULT_EDGEDATA,0,8.29,0,5,e4,1,1,2.76,5,1.38,15.09,75.38,6.64,0.48,23.80,13.57,0.00
0.00,96.00,DEFAULT_EDGEDATA,0,8.75,0,5,e5,0,0,2.92,5,1.39,11.48,57.43,6.42,0.46,19.35,10.23,0.00
0.00,96.00,DEFAULT_EDGEDATA,5,6.97,0,5,e6,0,0,2.32,0,1.17,13.10,64.75,7.80,0.56,14.25,12.46,0.00
