interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,93.00,DEFAULT_EDGEDATA,0,9.15,5,0,e1,4,4,3.05,5,1.57,15.30,71.82,5.87,0.42,27.76,13.81,0.00
0.00,93.00,DEFAULT_EDGEDATA,0,9.43,0,5,e2,1,1,3.14,5,1.53,13.51,67.49,6.10,0.44,25.52,11.99,0.00
0.00,93.00,DEFAULT_EDGEDATA,0,8.37,0,5,e3,0,0,2.79,5,1.35,13.80,68.98,6.82,0.49,21.20,12.65,0.00
0.00,93.00,DEFAULT_EDGEDATA,0,8.57,0,5,e4,0,0,2.86,5,1.40,15.09,75.44,6.63,0.48,24.22,13.33,0.00
0.00,93.00,DEFAULT_EDGEDATA,0,9.61,0,5,e5,1,1,3.20,5,1.52,12.21,61.09,6.04,0.43,23.44,10.86,0.00
0.00,93.00,DEFAULT_EDGEDATA,5,7.24,0,5,e6,1,1,2.41,0,1.22,13.31,65.17,7.68,0.55,15.13,12.62,0.00
