interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,88.00,DEFAULT_EDGEDATA,0,9.37,5,0,e1,2,2,3.12,5,1.61,14.82,69.58,6.06,0.44,26.24,13.41,0.00
0.00,88.00,DEFAULT_EDGEDATA,0,8.59,0,5,e2,2,2,2.86,5,1.40,11.63,58.19,7.08,0.51,16.49,10.63,0.00
0.00,88.00,DEFAULT_EDGEDATA,0,8.34,0,5,e3,3,3,2.78,5,1.37,13.00,65.03,7.23,0.52,17.21,11.89,0.00
0.00,88.00,DEFAULT_EDGEDATA,0,8.23,0,5,e4,2,2,2.74,5,1.35,13.71,68.58,7.30,0.53,17.37,12.39,0.00
0.00,88.00,DEFAULT_EDGEDATA,0,9.09,0,5,e5,1,1,3.03,5,1.46,10.93,54.67,6.74,0.49,17.23,9.89,0.00
0.00,88.00,DEFAULT_EDGEDATA,5,7.47,0,5,e6,0,0,2.49,0,1.27,12.86,63.65,7.95,0.57,13.07,12.24,0.00
