interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,104.00,DEFAULT_EDGEDATA,0,9.80,5,0,e1,0,0,3.27,5,1.70,18.32,85.97,4.90,0.35,42.92,16.64,0.00
0.00,104.00,DEFAULT_EDGEDATA,0,9.62,0,5,e2,0,0,3.21,5,1.58,15.40,77.01,5.35,0.39,34.50,13.88,0.00
0.00,104.00,DEFAULT_EDGEDATA,0,7.47,0,5,e3,0,0,2.49,5,1.21,13.77,68.88,6.83,0.49,21.30,12.52,0.00
0.00,104.00,DEFAULT_EDGEDATA,0,8.56,0,5,e4,0,0,2.85,5,1.41,16.86,84.30,5.94,0.43,32.28,14.74,0.00
0.00,104.00,DEFAULT_EDGEDATA,0,9.43,0,5,e5,0,0,3.14,5,1.51,13.41,67.03,5.50,0.40,29.13,11.94,0.00
0.00,104.00,DEFAULT_EDGEDATA,5,6.61,0,5,e6,0,0,2.20,0,1.12,13.78,66.49,7.42,0.53,17.17,13.06,0.00
