interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,144.00,DEFAULT_EDGEDATA,0,8.25,5,0,e1,2,2,2.75,5,1.38,21.32,100.20,4.21,0.30,40.72,18.78,0.00
0.00,144.00,DEFAULT_EDGEDATA,0,8.88,0,5,e2,2,2,2.96,5,1.40,19.64,98.39,4.19,0.30,40.21,17.28,1.00
0.00,144.00,DEFAULT_EDGEDATA,0,8.02,0,5,e3,1,1,2.67,5,1.25,20.43,102.33,4.60,0.33,35.80,17.75,0.00
0.00,144.00,DEFAULT_EDGEDATA,0,8.45,0,5,e4,0,0,2.82,5,1.33,23.10,115.17,4.33,0.31,45.10,19.95,1.00
0.00,144.00,DEFAULT_EDGEDATA,0,9.11,0,5,e5,4,4,3.04,5,1.41,17.89,89.62,4.11,0.30,37.20,15.47,0.00
0.00,144.00,DEFAULT_EDGEDATA,5,6.81,0,5,e6,1,1,2.27,0,1.12,19.21,94.87,5.31,0.38,26.78,18.28,0.00
