interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,74.00,DEFAULT_EDGEDATA,0,8.45,5,0,e1,2,2,2.82,5,1.45,11.25,52.79,7.98,0.57,9.06,10.22,0.00
0.00,74.00,DEFAULT_EDGEDATA,0,8.53,0,5,e2,0,0,2.84,5,1.40,9.72,48.59,8.48,0.61,7.00,8.75,0.00
0.00,74.00,DEFAULT_EDGEDATA,0,8.37,0,5,e3,4,4,2.79,5,1.39,10.99,54.92,8.56,0.62,6.19,9.95,0.00
0.00,74.00,DEFAULT_EDGEDATA,0,8.12,0,5,e4,0,0,2.71,5,1.34,11.38,56.87,8.80,0.63,6.14,10.34,0.00
0.00,74.00,DEFAULT_EDGEDATA,0,8.94,0,5,e5,0,0,2.98,5,1.44,9.04,45.20,8.16,0.59,6.24,7.96,0.00
0.00,74.00,DEFAULT_EDGEDATA,5,7.36,0,5,e6,1,1,2.45,0,1.24,10.69,52.72,9.56,0.69,2.33,10.14,0.00
