interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,90.00,DEFAULT_EDGEDATA,0,8.13,5,0,e1,3,3,2.71,5,1.42,13.17,61.75,6.83,0.49,18.02,11.68,0.00
0.00,90.00,DEFAULT_EDGEDATA,0,8.87,0,5,e2,0,0,2.96,5,1.43,12.30,61.45,6.70,0.48,19.44,11.00,0.00
0.00,90.00,DEFAULT_EDGEDATA,0,8.23,0,5,e3,0,0,2.74,5,1.36,13.13,65.64,7.16,0.52,17.43,11.92,0.00
0.00,90.00,DEFAULT_EDGEDATA,0,8.94,0,5,e4,3,3,2.98,5,1.49,15.26,76.18,6.57,0.47,24.99,13.43,0.00
0.00,90.00,DEFAULT_EDGEDATA,0,9.89,0,5,e5,0,0,3.30,5,1.57,12.18,60.85,6.06,0.44,22.81,10.82,0.00
0.00,90.00,DEFAULT_EDGEDATA,5,7.33,0,5,e6,0,0,2.44,0,1.25,13.18,63.86,7.75,0.56,14.35,12.51,0.00
