interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,80.00,DEFAULT_EDGEDATA,0,9.10,5,0,e1,2,2,3.03,5,1.60,13.09,61.45,6.86,0.49,19.26,12.44,0.00
0.00,80.00,DEFAULT_EDGEDATA,0,8.16,0,5,e2,0,0,2.72,5,1.37,10.05,50.26,8.20,0.59,8.61,9.39,0.00
0.00,80.00,DEFAULT_EDGEDATA,0,7.92,0,5,e3,0,0,2.64,5,1.34,11.23,56.17,8.37,0.60,9.14,10.55,0.00
0.00,80.00,DEFAULT_EDGEDATA,0,8.05,0,5,e4,0,0,2.68,5,1.37,12.20,61.00,8.20,0.59,10.53,11.50,0.00
0.00,80.00,DEFAULT_EDGEDATA,0,8.41,0,5,e5,0,0,2.80,5,1.40,9.19,45.97,8.02,0.58,9.06,8.53,0.00
0.00,80.00,DEFAULT_EDGEDATA,5,7.97,0,5,e6,1,1,2.66,0,1.37,12.63,61.68,8.09,0.58,11.76,11.97,0.00
