interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,83.00,DEFAULT_EDGEDATA,0,8.60,5,0,e1,2,2,2.87,5,1.49,12.83,60.22,7.00,0.50,17.23,11.70,0.00
0.00,83.00,DEFAULT_EDGEDATA,0,8.52,0,5,e2,0,0,2.84,5,1.39,10.89,54.45,7.57,0.54,11.72,9.70,0.00
0.00,83.00,DEFAULT_EDGEDATA,0,8.25,0,5,e3,0,0,2.75,5,1.35,12.15,60.72,7.74,0.56,11.96,11.00,0.00
0.00,83.00,DEFAULT_EDGEDATA,0,8.16,0,5,e4,2,2,2.72,5,1.35,12.82,64.09,7.81,0.56,12.90,11.63,0.00
0.00,83.00,DEFAULT_EDGEDATA,0,9.10,0,5,e5,0,0,3.03,5,1.47,10.33,51.62,7.14,0.51,13.23,9.09,0.00
0.00,83.00,DEFAULT_EDGEDATA,5,7.23,0,5,e6,0,0,2.41,0,1.22,11.85,58.06,8.62,0.62,7.99,11.24,0.00
