interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,197.00,DEFAULT_EDGEDATA,0,12.89,5,0,e1,5,5,4.30,5,2.37,45.78,214.29,1.97,0.14,170.84,43.38,21.00
0.00,197.00,DEFAULT_EDGEDATA,0,4.40,0,5,e2,0,0,1.47,5,0.71,13.33,66.67,6.18,0.44,24.25,12.16,0.00
0.00,197.00,DEFAULT_EDGEDATA,0,3.64,0,5,e3,0,0,1.21,5,0.60,12.72,63.58,7.40,0.53,15.52,11.53,0.00
0.00,197.00,DEFAULT_EDGEDATA,0,3.64,0,5,e4,0,0,1.21,5,0.60,13.58,67.91,7.37,0.53,16.44,12.22,0.00
0.00,197.00,DEFAULT_EDGEDATA,0,4.00,0,5,e5,0,0,1.33,5,0.64,10.77,53.87,6.84,0.49,15.92,9.74,0.00
0.00,197.00,DEFAULT_EDGEDATA,5,3.36,0,5,e6,0,0,1.12,0,0.57,13.09,64.13,7.81,0.56,14.07,12.43,0.00
