interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
0.00,92.00,DEFAULT_EDGEDATA,0,9.22,5,0,e1,2,2,3.07,5,1.57,15.25,71.61,5.88,0.42,27.69,13.51,0.00
0.00,92.00,DEFAULT_EDGEDATA,0,9.21,0,5,e2,0,0,3.07,5,1.47,13.03,65.20,6.32,0.45,23.19,11.68,0.00
0.00,92.00,DEFAULT_EDGEDATA,0,8.10,0,5,e3,1,1,2.70,5,1.32,13.21,66.08,7.12,0.51,18.49,12.07,0.00
0.00,92.00,DEFAULT_EDGEDATA,0,8.73,0,5,e4,1,1,2.91,5,1.43,15.21,76.02,6.58,0.47,25.16,13.44,0.00
0.00,92.00,DEFAULT_EDGEDATA,0,9.52,0,5,e5,0,0,3.17,5,1.50,11.98,59.87,6.16,0.44,21.65,10.66,0.00
0.00,92.00,DEFAULT_EDGEDATA,5,7.27,0,5,e6,1,1,2.42,0,1.23,13.14,64.74,7.78,0.56,14.37,12.47,0.00
